Date,Brent_Oil_Price,USD_INR_Exchange
2019-01-01,,69.70999908447266
2019-01-02,54.90999984741211,69.70999908447266
2019-01-03,55.95000076293945,69.95999908447266
2019-01-04,57.060001373291016,70.30000305175781
2019-01-05,57.060001373291016,70.30000305175781
2019-01-06,57.060001373291016,70.30000305175781
2019-01-07,57.33000183105469,69.5250015258789
2019-01-08,58.720001220703125,69.80999755859375
2019-01-09,61.439998626708984,70.33000183105469
2019-01-10,61.68000030517578,70.55049896240234
2019-01-11,60.47999954223633,70.72000122070312
2019-01-12,60.47999954223633,70.72000122070312
2019-01-13,60.47999954223633,70.72000122070312
2019-01-14,58.9900016784668,70.37000274658203
2019-01-15,60.63999938964844,71.08499908447266
2019-01-16,61.31999969482422,71.09249877929688
2019-01-17,61.18000030517578,71.36499786376953
2019-01-18,62.70000076293945,71.03019714355469
2019-01-19,62.70000076293945,71.03019714355469
2019-01-20,62.70000076293945,71.03019714355469
2019-01-21,62.70000076293945,71.2300033569336
2019-01-22,61.5,71.5
2019-01-23,61.13999938964844,71.2302017211914
2019-01-24,61.09000015258789,71.15730285644531
2019-01-25,61.63999938964844,70.98999786376953
2019-01-26,61.63999938964844,70.98999786376953
2019-01-27,61.63999938964844,70.98999786376953
2019-01-28,59.93000030517578,70.9749984741211
2019-01-29,61.31999969482422,71.09010314941406
2019-01-30,61.650001525878906,71.62000274658203
2019-01-31,61.88999938964844,71.12000274658203
2019-02-01,61.869998931884766,71.19999694824219
2019-02-02,61.869998931884766,71.19999694824219
2019-02-03,61.869998931884766,71.19999694824219
2019-02-04,62.5099983215332,71.45169830322266
2019-02-05,61.97999954223633,71.68499755859375
2019-02-06,62.689998626708984,71.7699966430664
2019-02-07,61.630001068115234,71.54049682617188
2019-02-08,62.099998474121094,71.58000183105469
2019-02-09,62.099998474121094,71.58000183105469
2019-02-10,62.099998474121094,71.58000183105469
2019-02-11,61.5099983215332,71.1500015258789
2019-02-12,62.41999816894531,71.2300033569336
2019-02-13,63.61000061035156,70.80999755859375
2019-02-14,64.56999969482422,70.86509704589844
2019-02-15,66.25,71.01000213623047
2019-02-16,66.25,71.01000213623047
2019-02-17,66.25,71.01000213623047
2019-02-18,66.25,71.31999969482422
2019-02-19,66.44999694824219,71.69999694824219
2019-02-20,67.08000183105469,71.5999984741211
2019-02-21,67.06999969482422,71.30000305175781
2019-02-22,67.12000274658203,71.18499755859375
2019-02-23,67.12000274658203,71.18499755859375
2019-02-24,67.12000274658203,71.18499755859375
2019-02-25,64.76000213623047,71.03099822998047
2019-02-26,65.20999908447266,71.08999633789062
2019-02-27,66.38999938964844,70.94000244140625
2019-02-28,66.02999877929688,71.19000244140625
2019-03-01,65.06999969482422,70.81600189208984
2019-03-02,65.06999969482422,70.81600189208984
2019-03-03,65.06999969482422,70.81600189208984
2019-03-04,65.66999816894531,70.98999786376953
2019-03-05,65.86000061035156,70.9000015258789
2019-03-06,65.98999786376953,70.74250030517578
2019-03-07,66.30000305175781,70.36499786376953
2019-03-08,65.73999786376953,70.48750305175781
2019-03-09,65.73999786376953,70.48750305175781
2019-03-10,65.73999786376953,70.48750305175781
2019-03-11,66.58000183105469,69.98690032958984
2019-03-12,66.66999816894531,69.79010009765625
2019-03-13,67.55000305175781,69.84500122070312
2019-03-14,67.2300033569336,69.72630310058594
2019-03-15,67.16000366210938,69.3373031616211
2019-03-16,67.16000366210938,69.3373031616211
2019-03-17,67.16000366210938,69.3373031616211
2019-03-18,67.54000091552734,68.9530029296875
2019-03-19,67.61000061035156,68.61799621582031
2019-03-20,68.5,69.31749725341797
2019-03-21,67.86000061035156,68.82499694824219
2019-03-22,67.02999877929688,68.93000030517578
2019-03-23,67.02999877929688,68.93000030517578
2019-03-24,67.02999877929688,68.93000030517578
2019-03-25,67.20999908447266,69.1604995727539
2019-03-26,67.97000122070312,68.92340087890625
2019-03-27,67.83000183105469,69.42749786376953
2019-03-28,67.81999969482422,69.37000274658203
2019-03-29,68.38999938964844,69.5
2019-03-30,68.38999938964844,69.5
2019-03-31,68.38999938964844,69.5
2019-04-01,69.01000213623047,69.43000030517578
2019-04-02,69.37000274658203,69.19529724121094
2019-04-03,69.30999755859375,68.91020202636719
2019-04-04,69.4000015258789,68.8499984741211
2019-04-05,70.33999633789062,68.97039794921875
2019-04-06,70.33999633789062,68.97039794921875
2019-04-07,70.33999633789062,68.97039794921875
2019-04-08,71.0999984741211,69.16000366210938
2019-04-09,70.61000061035156,69.55249786376953
2019-04-10,71.7300033569336,69.26180267333984
2019-04-11,70.83000183105469,69.14019775390625
2019-04-12,71.55000305175781,69.43000030517578
2019-04-13,71.55000305175781,69.43000030517578
2019-04-14,71.55000305175781,69.43000030517578
2019-04-15,71.18000030517578,69.16100311279297
2019-04-16,71.72000122070312,69.80999755859375
2019-04-17,71.62000274658203,69.88500213623047
2019-04-18,71.97000122070312,69.4010009765625
2019-04-19,71.97000122070312,69.38099670410156
2019-04-20,71.97000122070312,69.38099670410156
2019-04-21,71.97000122070312,69.38099670410156
2019-04-22,74.04000091552734,69.36000061035156
2019-04-23,74.51000213623047,70.0625
2019-04-24,74.56999969482422,69.75800323486328
2019-04-25,74.3499984741211,70.0958023071289
2019-04-26,72.1500015258789,70.16000366210938
2019-04-27,72.1500015258789,70.16000366210938
2019-04-28,72.1500015258789,70.16000366210938
2019-04-29,72.04000091552734,69.84200286865234
2019-04-30,72.80000305175781,69.81179809570312
2019-05-01,72.18000030517578,69.55599975585938
2019-05-02,70.75,69.63289642333984
2019-05-03,70.8499984741211,69.42440032958984
2019-05-04,70.8499984741211,69.42440032958984
2019-05-05,70.8499984741211,69.42440032958984
2019-05-06,71.23999786376953,69.16799926757812
2019-05-07,69.87999725341797,69.40029907226562
2019-05-08,70.37000274658203,69.91000366210938
2019-05-09,70.38999938964844,70.01000213623047
2019-05-10,70.62000274658203,70.41000366210938
2019-05-11,70.62000274658203,70.41000366210938
2019-05-12,70.62000274658203,70.41000366210938
2019-05-13,70.2300033569336,69.92250061035156
2019-05-14,71.23999786376953,70.61699676513672
2019-05-15,71.7699966430664,70.30699920654297
2019-05-16,72.62000274658203,70.20919799804688
2019-05-17,72.20999908447266,70.23500061035156
2019-05-18,72.20999908447266,70.23500061035156
2019-05-19,72.20999908447266,70.23500061035156
2019-05-20,71.97000122070312,70.28150177001953
2019-05-21,72.18000030517578,70.12750244140625
2019-05-22,70.98999786376953,70.12750244140625
2019-05-23,67.76000213623047,69.97250366210938
2019-05-24,68.69000244140625,69.94499969482422
2019-05-25,68.69000244140625,69.94499969482422
2019-05-26,68.69000244140625,69.94499969482422
2019-05-27,68.69000244140625,69.36000061035156
2019-05-28,70.11000061035156,69.72000122070312
2019-05-29,69.44999694824219,69.875
2019-05-30,66.87000274658203,69.81500244140625
2019-05-31,64.48999786376953,69.9800033569336
2019-06-01,64.48999786376953,69.9800033569336
2019-06-02,64.48999786376953,69.9800033569336
2019-06-03,61.279998779296875,69.5696029663086
